id,split,source_entry,publish_date,Q_refined,category,subcategory,predication,department,keywords,content_keywords,related_law,bucket_key,cluster_text_norm,cluster_id,cluster_size,is_cluster_representative,importance,urgency,priority_type,cap_reason,evidence_tags,risk_evidence,counter_evidence,confidence,needs_review,trainable,validation_flags,reason,model,label_source
C24376-0,train,δ│┤Ω▒┤∞åî/δ│┤Ω▒┤∞åî_20008.json,20190513110145,창원시립요양병원 입퇴원 절차 관련 문의합니다.,보건소,기타,문의(질의),보건정책과,창원시립요양병원|입퇴원,입퇴원|창원시립요양병원,,보건소|기타|문의질의|입퇴원|창원시립요양병원,창원시립요양병원 입퇴원 절차 관련 문의합니다,C00129278,5,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
B23762-2,validation,δåì∞ùà_∞╢ò∞é░/δåì∞ùà_∞╢ò∞é░_1174.json,2018-02-27,어제 늦은 오후 가포 해안변 공원에 순한 강아지 한 마리가 공원 주변(주차장 주변)을 돌아다니고 있었습니다. 어떻게 도움을 줄 수가 없어 안타까운 마음으로 부탁드리니 잡아서 유기견 보호소로 보내주세요.,농업_축산,기타,요청/개선,마산기술지원과,어제 늦은 오후|가포 해안변 공원|강아지|돌아다니고|유기견 보호소,강아지|돌아다니고|어제늦은오후|유기견보호소,,농업축산|기타|요청개선|강아지|돌아다니고|어제늦은오후|유기견보호소,어제 늦은 오후 가포 해안변 공원에 순한 강아지 한 마리가 공원 주변 주차장 주변 을 돌아다니고 있었습니다 어떻게 도움을 줄 수가 없어 안타까운 마음으로 부탁드리니 잡아서 유기견 보호소로 보내주세요,C00392795,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,NO_ACTION_REQUEST,0.9,false,true,,질문·절차·정보 확인 중심이며 직접 조치나 위험 근거가 없어 낮은 우선순위로 둡니다.,rubric_rules_v3,row_rule_v3
C10705-4,train,φûë∞áò/φûë∞áò_23197.json,20190312180856,창원시 미성년자 여권 발급과 관련해 문의드립니다.,행정,여권,문의(질의),민원지적과,미성년자|여권|발급|문의,문의|미성년자|발급|여권,,행정|여권|문의질의|문의|미성년자|발급|여권,창원시 미성년자 여권 발급과 관련해 문의드립니다,C00176105,4,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C3252-2,train,∞ä╕δ¼┤/∞ä╕δ¼┤_20500.json,20190108133135,자동차세금 연납신청 하려는데 안내해주세요.,세무,지방세,문의(질의),세무과,,,,세무|지방세|문의질의|__no_keyword__,자동차세금 연납신청 하려는데 안내해주세요,C00200455,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,PAYMENT_ADMIN_SIGNAL|NO_ACTION_REQUEST,0.94,false,true,,납부·세금·과태료 절차를 묻는 단순 정보 요청이라 중요도와 긴급도를 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C41962-2,train,Ω╡Éφå╡/Ω╡Éφå╡_85465.json,20191029115941,마산합포구 구산면 담배포 문의 드립니다.,교통,기타,문의(질의),경제교통과,마산합포구|구산면|담배포,담배포,,교통|기타|문의질의|담배포,마산합포구 구산면 담배포 문의 드립니다,C00061079,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C49455-2,validation,δåì∞ùà_∞╢ò∞é░/δåì∞ùà_∞╢ò∞é░_1174.json,20191129134044,"동물등록 내용 이상 확인하고 싶어요. 저번에 창원에 있는 동물병원을 통해 반려동물 칩등록을 했는데 집주소, 연락처가 잘못 기재되었습니다.",농업_축산,동물등록 관련 신고,문의(질의),축산과,동물등록|창원|동물병원|반려동물|칩등록|집주소|연락처,동물등록|동물병원|반려동물|연락처|집주소|칩등록,,농업축산|동물등록관련신고|문의질의|동물등록|동물병원|반려동물|연락처|집주소|칩등록,동물등록 내용 이상 확인하고 싶어요 저번에 창원에 있는 동물병원을 통해 반려동물 칩등록을 했는데 집주소 연락처가 잘못 기재되었습니다,C00120538,4,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C46733-3,train,φÖÿΩ▓╜δ»╕φÖö/φÖÿΩ▓╜δ»╕φÖö_38129.json,20191211165611,신청한 일반경유차배출가스저감사업 신청했는데 연락이 없어서 예산소진 여부에 관하여 문의합니다.,환경미화,친환경사업,문의(질의),환경정책과,일반경유차|배출가스|저감사업,배출가스|일반경유차|저감사업,,환경미화|친환경사업|문의질의|배출가스|일반경유차|저감사업,신청한 일반경유차배출가스저감사업 신청했는데 연락이 없어서 예산소진 여부에 관하여 문의합니다,C00163633,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
B56282-3,train,Ω╡Éφå╡/Ω╡Éφå╡_85465.json,2019-07-13,성산구 상남동 스타타워즈 빌딩이 교통영향평가 대상인지 문의합니다.,교통,기타,문의(질의),교통정책과,성산구|상남동|스타타워즈 빌딩|교통영향평가,교통영향평가,,교통|기타|문의질의|교통영향평가,성산구 상남동 스타타워즈 빌딩이 교통영향평가 대상인지 문의합니다,C00042006,1,True,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C36812-0,train,δåì∞ùà_∞╢ò∞é░/δåì∞ùà_∞╢ò∞é░_9392.json,20190808125719,창원시 길고양이 중성화 수술 관련 문의합니다.,농업_축산,기타,문의(질의),축산과,창원시|길고양이|중성화 수술,길고양이|중성화수술,,농업축산|기타|문의질의|길고양이|중성화수술,창원시 길고양이 중성화 수술 관련 문의합니다,C00117122,8,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
C39426-4,train,φÖÿΩ▓╜δ»╕φÖö/φÖÿΩ▓╜δ»╕φÖö_38129.json,20191008175747,창원시 공휴일인데 음식물 쓰레기 수거해 가시나요?,환경미화,음식물자원화 처리장,문의(질의),환경미화과,공휴일|음식물 쓰레기|수거,공휴일|수거|음식물쓰레기,,환경미화|음식물자원화처리장|문의질의|공휴일|수거|음식물쓰레기,창원시 공휴일인데 음식물 쓰레기 수거해 가시나요,C00162626,4,False,1,1,SIMPLE_INQUIRY,SIMPLE_INQUIRY_CAP,STANDARD_INQUIRY,,INFORMATION_ONLY_RISK_TOPIC|NO_ACTION_REQUEST,0.88,false,true,,안전·재난 주제를 포함하더라도 행동요령·담당부서·절차를 묻는 정보성 문의라 낮게 둡니다.,rubric_rules_v3,row_rule_v3
